2.113631918769041551e+00,1.368700203747581057e+00,5.231111807054621643e+00,7.141290838865335111e-01,5.018568385747943505e-01,4.663439123271572271e+02,4.171940096680974648e+02,4.683972771053712449e+02,3.486875189925257246e+02
2.903664617363217459e+00,1.230464561332148987e+00,5.067517800617030943e+00,1.134052217533457085e+00,8.564233931575788716e-01,4.656856619623362121e+02,4.757279110445601873e+02,3.975850449804221398e+02,4.046559628335667185e+02
3.288332631181666521e+00,1.308958371146152544e+00,6.788360992295316976e+00,5.978734640689338242e-01,8.011968201383629085e-01,4.289076745808100668e+02,4.619030794744307968e+02,4.077906003599860014e+02,3.148752380364547321e+02
2.301116386429702398e+00,1.836822551036708884e+00,6.005753034393620737e+00,1.149045859126629487e+00,1.439390914723585491e+00,4.420119173882022778e+02,4.133973458449244163e+02,3.356689204613663833e+02,4.285672481953995430e+02
3.585739342520390505e+00,2.812672881938005354e+00,3.864487683467728196e+00,8.076437632527542210e-01,8.434014050701374998e-01,3.689989457842538059e+02,4.473374524519697957e+02,3.100900095522485458e+02,4.856681147709815036e+02
3.119646825940900481e+00,2.251081165588595390e+00,5.659165760676067691e+00,1.011460556081840378e+00,1.477415295894366709e+00,3.256380752369793754e+02,3.124775030162516600e+02,3.636755793183406809e+02,4.600545152667664297e+02
3.107699554224067739e+00,1.372255322610622219e+00,4.568646612864178280e+00,6.709764048480255649e-01,1.051378731800440836e+00,3.072254002126973091e+02,3.345650486904852983e+02,3.109872908458063421e+02,4.526939666908918412e+02
2.156302161869782630e+00,2.374693217278196933e+00,6.500797856402067865e+00,6.384629342698464605e-01,6.223165758888296040e-01,3.063836330655639131e+02,3.764072056654165976e+02,3.385360134784009460e+02,4.541026823923423308e+02
3.979911530888701421e+00,1.750280379472742620e+00,4.123142261950496490e+00,1.214659268401389935e+00,1.403841445411137645e+00,4.013234770415875801e+02,4.961778512146886442e+02,4.414282825268943498e+02,4.209792503110484176e+02
3.675810314975294091e+00,1.476130561826090259e+00,5.876719358502609403e+00,9.167727576799385991e-01,1.263384970793683282e+00,3.892137032878445666e+02,3.813433995786415949e+02,3.645099077445476041e+02,4.759284914373877200e+02
